radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,505,2,29250,5102506089,-1,115.2614,-33.6643,1000,1,1,1738695233,1738695233,0
NR,505,1,3186688,239580673,-1,145.2648,-37.8901,1462,32,1,1739166609,1748519345,0
NR,505,1,3186688,240212227,-1,145.2432,-37.8982,1000,8,1,1739227627,1747704541,0
NR,505,1,3184384,239533315,-1,145.2669,-37.8918,1000,1,1,1739239738,1739239738,0
NR,505,1,3184384,240209410,-1,145.2722,-37.8914,1000,14,1,1739239895,1748519345,0
NR,505,1,3186688,239581187,-1,145.2549,-37.8929,700,33,1,1739242613,1743759667,0
NR,505,1,3186688,240211715,-1,145.2417,-37.8986,941,32,1,1739242633,1743759670,0
NR,505,1,3186688,246255617,-1,145.2412,-37.9072,1558,50,1,1739242643,1743759672,0
NR,505,1,3186688,239647489,-1,145.2446,-37.8975,1000,4,1,1739242653,1743759667,0
NR,505,1,3186688,239646723,-1,145.2302,-37.8992,1000,5,1,1739242770,1743759668,0
NR,505,1,3186688,240211714,-1,145.2423,-37.9098,1371,17,1,1739242841,1743759671,0
NR,505,1,3186688,239646721,-1,145.2363,-37.9056,1000,14,1,1739242851,1743759665,0
NR,505,1,3186944,245862915,-1,145.2369,-37.9143,823,27,1,1739242911,1743759672,0
NR,505,1,3186944,245862914,-1,145.2351,-37.9225,1000,8,1,1739242978,1743759665,0
NR,505,1,3186944,239462915,-1,145.2314,-37.9243,1000,18,1,1739242988,1743759671,0
NR,505,1,3186944,239642883,-1,145.2304,-37.9233,1000,21,1,1739242998,1743759665,0
NR,505,1,3186944,239643395,-1,145.2332,-37.9254,1000,18,1,1739243024,1743759665,0
NR,505,1,3186688,239646722,-1,145.2284,-37.9194,2930,13,1,1739244198,1743759665,0
NR,505,1,3186688,246255618,-1,145.2146,-37.9211,1758,7,1,1739244233,1743759664,0
NR,505,1,3186688,239647234,-1,145.226,-37.9197,1000,1,1,1739244373,1739244373,0
NR,505,1,3186688,239647490,-1,145.2352,-37.8947,1000,13,1,1739244763,1743759668,0
NR,505,1,3186688,239641347,-1,145.2511,-37.8951,1432,7,1,1739244903,1743759667,0
NR,505,1,3186688,239580675,-1,145.251,-37.8945,1000,21,1,1739244913,1743759667,0
NR,505,1,3186688,239641859,-1,145.2669,-37.8919,1000,1,1,1738845958,1738845958,0
NR,505,1,3166720,239778305,-1,145.2699,-37.8816,751,26,1,1738968022,1748519344,0
NR,505,1,3184384,240209923,-1,145.2745,-37.8841,1000,21,1,1738968052,1748519345,0
NR,505,1,3184384,239445250,-1,145.292,-37.8895,1000,12,1,1738992187,1743759607,0
NR,505,1,3184384,239445251,-1,145.2945,-37.8889,1000,9,1,1738992207,1739790188,0
NR,505,1,3184384,239445249,-1,145.2984,-37.8896,1000,8,1,1738992247,1739790188,0
NR,505,1,3184384,240270851,-1,145.3087,-37.8934,3472,25,1,1738992257,1748519344,0
NR,505,1,3184384,239823362,-1,145.3435,-37.906,1000,3,1,1738992577,1739790186,0
NR,505,1,3184384,240270849,-1,145.3384,-37.8959,1000,2,1,1738995127,1739790187,0
NR,505,1,3184384,240209921,-1,145.286,-37.8887,1067,13,1,1738996107,1748519345,0
NR,505,1,3166720,239778306,-1,145.2608,-37.8823,630,47,1,1738996678,1743759667,0
NR,505,1,3166720,239778307,-1,145.2628,-37.8771,573,33,1,1738996748,1743759667,0
NR,505,1,3166720,239684353,-1,145.2597,-37.8732,1000,13,1,1738997118,1743759667,0
NR,505,3,30336,581173353,-1,145.3333,-38.0618,1000,1,1,1740474584,1740474584,0
